FAMILIA;SUBFAMILIA;PRODUCTO;MEDIDAS
Varillas;VARILLA G-5;VARILLA G-5 ROSCA GALVANIZADA 1/2-13 X 1MT;N/A
Otros;SENSOR OXIGENO;SENSOR OXIGENO CHEVROLET ASTRA, CRUZE, SONIC, TRAX (03-14);N/A
Otros;"1/2 x;"1/2 x 20x 1.875"" Ford Ranger Explorer, Mustang";N/A
Tuercas;TUERCA MARIPOSA;TUERCA MARIPOSA 1/4-20;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 3/8-16 X 4;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1-1/4-7 X 4;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON INOXIDABLE-304 1/4 X 3.3/4;N/A
Otros;Bobina ignicion;Bobina ignicion Chevrolet Trailblazer, Colorado, Hummer (UF303);N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M8 X 60;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB GOTA COMBI 1/4-20 X 1.1/4;N/A
Otros;SEGURO ARGOLLA;SEGURO ARGOLLA DE 1/4;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 1 METRO NC 3/4-10;N/A
Otros;"CAPUCHON LARGO;"CAPUCHON LARGO ""L"" IZQUIERDO";N/A
Tuercas;"TUERCA CAPUCHON;"TUERCA CAPUCHON TROP. ""R"" DERECHO";N/A
Tuercas;TUERCA HEX;TUERCA HEX 2H NEGRA 1-1/2-6;N/A
Birlos;BIRLO DOS;BIRLO DOS PUNTAS 3/4-16 AMBOS LADOS;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1/4-20 X 1-1/2;N/A
Otros;INSERTO DE;INSERTO DE ACERO INOXIDABLE-304 M10-1.50 X 1.5;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA 14 X 7 GALAXY;N/A
Tuercas;TUERCA AUTOMOTRIZ;TUERCA AUTOMOTRIZ CODIGO K DESTAPADA M14-1.50;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1/2 X 4.1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA EMP 2.1/2-4;N/A
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 10 X 90;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA 1-8;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 7/8-9 X 5.1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 3/8-16 X 4.1/2;N/A
Otros;VALVULA IAC;VALVULA IAC TOYOTA COROLLA, MR2 SPYDER, MATRIX (00-06);N/A
Tuercas;TUERCA HEX;TUERCA HEX 2H NEGRA 1/2-13;N/A
Tuercas;TUERCA MM;TUERCA MM INS NYLON NF M16-1.50;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA EMP 14 X 4 GALAXY;N/A
Rondanas;RONDANA ESTRELLA;RONDANA ESTRELLA EXTERIOR 7/8;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 3/4 X 1.1/2;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB GOTA COMBI 5-40 X 1.1/2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 3/8-16 X 1;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 1 METRO NC 2-4.5;N/A
Tuercas;TUERCA GRIPCO;TUERCA GRIPCO TIPO FLANGE NEGRA 7/16-14;N/A
Otros;NUDO 1/2;NUDO 1/2;N/A
Otros;BOMBA GAS;BOMBA GAS NISSAN D21 XTERRA PATHFINDER FRONTIER 8606;N/A
Otros;71 CASQUILLO;71 CASQUILLO 12-1.25 X 5/8-18 NF;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 10-24 X 1;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 3/8-16 X 1;N/A
Tornillos;TORNILLO AUTORNILLOOSCANTE;TORNILLO AUTORNILLOOSCANTE PUNTA F 5/16 X 2-1/4;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 1/2-13;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA EMP 5/16-18;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1 X 2;N/A
Otros;GRASERA M8-1.00;GRASERA M8-1.00 RECTA;N/A
Otros;M22x1.5x100mm Dina9400;M22x1.5x100mm Dina9400 Kenworth Serie 651. 20X2214 Delantero;N/A
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 10 X 25;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1/2 X 3.1/2;N/A
Varillas;VARILLA G-5;VARILLA G-5 ROSCA PAVONADA 3/4-10 X 1MT;N/A
Otros;Lente de;Lente de Seguridad Ajustable Transparente Galaxy;N/A
Otros;23 CASQUILLO;23 CASQUILLO 14-1.25 X 3/4 NF LARGO;N/A
Tuercas;"TUERCA GRIPCO;"TUERCA GRIPCO GRADO ""C"" 3/4-10";N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 5/8-11 X 8;N/A
Otros;NISSAN PICK;NISSAN PICK UP 12 MM X 1.25;N/A
Tuercas;"TUERCA GRIPCO;"TUERCA GRIPCO GRADO ""C"" 1-1/8-7";N/A
Tuercas;TUERCA GRIPCO;TUERCA GRIPCO TIPO FLANGE NEGRA M12-1.75;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M12 X 70;N/A
Otros;VALVULA IAC;VALVULA IAC NISSAN SENTRA, PATHFINDER (00-06);N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA EMP 8 X 2;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 5/16 X 2.1/2;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB GOTA COMBI 5-40 X 1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA 5/8-11;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB 12 X 2;N/A
Otros;EXTENSION TRIPLE;EXTENSION TRIPLE USO DOMESTICO BLANCA 8 MTS;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 3/4-10 X 5.1/2;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 1/4-20 X 2;N/A
Otros;"3/4;"3/4;16 x 2.395"" Camion S. 5-6 60-70 CHEVROLET"|16 x 2.750"" Camion Ford F-600 F-700 F-800 Del"|16 x 2.750"" Camion Ford F-600 800 63-64 R.Del"|16 x 2.718""Autocar Kenworth Ramirez R.Del"|16 x 5.080"" Tractocamion Ramirez R. Trasera"|16 x 3.125"" Autobus Dina 300 R.Trasera"|16 x 3.500"" Autobus Dina 300 Rin Aluminio R.Trasera"|16 x 3.813"" Eje Rockwell 84-98 Rueda Trasera"|16 x 3.813"" Extrapesado Eje Rockwell 84-98 R.Trasera"|16, x 2.405"", Eje Rockwell 20 X 206 / 207, Rueda Trasera."
Otros;"1/2-20x 2.239"";"1/2-20x 2.239"" F100- F150, Ford A-3529R";N/A
Tuercas;TUERCA BELLOTA;TUERCA BELLOTA NIQUELADA 10-24;N/A
Otros;Sensor tps;Sensor tps Chevrolet Chevy, S10, Corsa, Monza, Camaro, 91-03;N/A
Tuercas;TUERCA 2H;TUERCA 2H;GIC - 1/2-13|GIC - 5/8-11|GIC - 3/4-10|GIC - 7/8-9|GIC - 1-8
Herramientas;MACHUELO P/INSERTO;MACHUELO P/INSERTO M2 HSS 3/8-16;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 1 METRO NC 1/4-20;N/A
Otros;ROND PRESION;ROND PRESION 3/8;N/A
Herramientas;MICROFIBRA HANDY;MICROFIBRA HANDY EMPAQUE CON 36 PIEZAS;N/A
Tornillos;TORNILLO CENTRO;TORNILLO CENTRO DE MUELLE GR-8 3/8 X 8;N/A
Otros;78 CASQUILLO;78 CASQUILLO 7-1.00 X 3/8-16 NC;N/A
Birlos;JUEGO BIRLOS;JUEGO BIRLOS P/TECHO 1/4 X 10;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON INOXIDABLE-304 1/2 X 5.1/2;N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 5/32 X 1-1/2;N/A
Otros;100CASQUILLO 12-1.25;100CASQUILLO 12-1.25 x 5/8-11 NC;N/A
Tornillos;TORNILLO CENTRO;TORNILLO CENTRO DE MUELLE GR-8 1/2 X 12;N/A
Otros;sensor tps;sensor tps Nissan Frontier, Quest, Xterra, Pickup, Sentra, 94-04;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 3/4 X 3;N/A
Tornillos;TORNILLO CONECTORNILLO;TORNILLO CONECTORNILLO BRONCE 1/4 x 40;N/A
