FAMILIA;SUBFAMILIA;PRODUCTO;MEDIDAS
Otros;GRASERA M8-1.25;GRASERA M8-1.25 RECTA;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA KG 3/4;N/A
Otros;Sensor cigüeñal;Sensor cigüeñal Dodge Voyager, Town & Country 94-97 V6;N/A
Otros;B.F. 7/16;B.F. 7/16 X 2 ROSCAA FINA-ESTANDAR;N/A
Tornillos;SUJETADOR MARIPOSA;SUJETADOR MARIPOSA CON TORNILLO 3/16;N/A
Otros;m12 x;m12 x 1.25 x 51.562 mm. Maxima, Ichivan 87/93;N/A
Otros;"LLAVE MIXTA;"LLAVE MIXTA HANDY M12;15/32"" - E-14"
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 1/2-13 X 4;N/A
Otros;REMACHE POP;REMACHE POP INOXIDABLE AS612LF 3/16 X 3/4;N/A
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 12 X 40;N/A
Otros;sensor cigüeñal;sensor cigüeñal Dodge Neon, PT Cruiser, Jeep Liberty 03-10;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 5/16-18 X 3/4;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M10 X 30;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB 14 X 4;N/A
Otros;CHILILLO RANURADO;CHILILLO RANURADO 12 X 50;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA F436 NGRA 1.1/2;N/A
Tuercas;TUERCA CROMADA;TUERCA CROMADA DE LUJO 9/16 MINIBUS CHEVROLET ***;N/A
Otros;Sensor arbol;Sensor arbol levas Dodge Stratus, Neon, Cirrus, Voyager 94-98;N/A
Otros;M12 x;M12 x 1.5 x 39 MM, Blazer C-10, 86-99, Del/Trasera.;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA EMP 14 X 3/4;N/A
Otros;13 CASQUILLO;13 CASQUILLO 10.8-1.00 X 1/2 NF;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1-1/8 X 7;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON INOXIDABLE-304 5/8 x 7;N/A
Otros;M12 x;M12 x 1.5 x 42.84mm, Mazda 85-93, R.Tras.;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 7/8 X 12;N/A
Birlos;"M22 x;"M22 x 1.5 x 3.210"" Birlo Especial Extrapesado";N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 1 METRO NC 1-8;N/A
Otros;"3/4-16 x;"3/4-16 x 3.750"" Peterbilt Paccar Kenworth";N/A
Otros;PERNO RANURADO;PERNO RANURADO 1/8 x 7/8;N/A
Birlos;BIRLO FECHA;BIRLO FECHA MANIFULL M8 X 1.25 X 50.52 MM;N/A
Otros;MANERAL METALICO;MANERAL METALICO P/INSERTO 1/2;N/A
Pijas;PIJA K-LATH;PIJA K-LATH PUNTA BROCA INOXIDABLE 410;# 8 x 1/2|# 8 x 5/8|# 8 x 3/4|# 8 X 1|# 8 x 1-1/4|# 8 X 1-1/2
Otros;PERNO RANURADO;PERNO RANURADO 1/4 x 1/2;N/A
Tuercas;LLAVE TUERCA;LLAVE TUERCA TUNER 6 DIENTES;N/A
Varillas;VARILLA B7-LARGO;VARILLA B7-LARGO 1 MT 1.5/8-8;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 7/16-14 X 5-1/2;N/A
Pijas;"PIJA K-LATH;"PIJA K-LATH ""AB"" 8 X 1";N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 LIG 1 METRO NC 5/16-18;N/A
Varillas;"VARILLA ACME-LARGO;"VARILLA ACME-LARGO 1 MT 1""-4";N/A
Tuercas;TUERCA AUTOMOTRIZ;TUERCA AUTOMOTRIZ TUNER 1/2-20 10 DIENTES;N/A
Otros;Sensor tps;Sensor tps Ford Econoline, Explorer, Expedition, Lincoln, 96-06;N/A
Tuercas;"TUERCA GRIPCO;"TUERCA GRIPCO GRADO ""C"" 1-1/2-6";N/A
Otros;TAQUETE ARPON;TAQUETE ARPON 5/16-18 X 2;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 1/4-20 X 1;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA EMP 7/16-14;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 7/16-14 X 5;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC GALVANIZADA 1-8;N/A
Herramientas;"DADO HEX;"DADO HEX PARA ROSCAAR HANDY 7/16""-14 NC";N/A
Tuercas;TUERCA MM;TUERCA MM HEX DIN NF M8-1.00;N/A
Otros;REMACHE POP;REMACHE POP INOXIDABLE SS610 3/16 X 5/8;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON INOXIDABLE-304 1/2 X 4.1/2;N/A
Otros;"LLAVE MIXTA;"LLAVE MIXTA HANDY M29;1-1/8"" - E-36"
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL P/BROCA CABEZA/ACC INT 14 X 3-1/2 GALAXY;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M6-1.00 X 20;N/A
Otros;Flotante F-350;Flotante F-350 9/16-18;N/A
Otros;INSERTO DE;INSERTO DE ACERO INOXIDABLE-304 M8-1.25 X 1.0;N/A
Otros;PERNO RANURADO;PERNO RANURADO 1/4 x 1;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA 1.1/2-6;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1/2 X 5.1/2;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 9/16 X 2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 3/8-16 X 2;N/A
Pijas;PIJA TABLARROCA-BROCA;PIJA TABLARROCA-BROCA 6 X 1.1/4;N/A
Otros;Sensor cigüeñal;Sensor cigüeñal Peugeot 307, 607, 407, Expert 02-08 4Cil;N/A
Otros;94CASQUILLO 12-1.50;94CASQUILLO 12-1.50 x 5/8-11 NC Largo;N/A
Otros;INSERTO DE;INSERTO DE ACERO INOXIDABLE-304 10-24 X 1.5;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1/4-20 X 4;N/A
Otros;REMACHE POP;REMACHE POP AS58 D 5/32 X L 5/8 X R 1/2;N/A
Tuercas;TUERCA INS;TUERCA INS NYLON NF 3/8-24;N/A
Pijas;"PIJA K-LATH;"PIJA K-LATH ""AB"" 8 X 1.1/2";N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M16 X 90;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 CROMO 3/8-16 X 1;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 3/8 X 2;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 3/8 X 3;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 3/4 X 4;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL AGUDA 14 X 1/2;N/A
Tuercas;TUERCA INS;TUERCA INS NYLON NC 5/16-18;N/A
Otros;REMACHE POP;REMACHE POP AS56 D 5/32 X L 1/2 X R 3/8;N/A
Otros;47 CASQUILLO;47 CASQUILLO 5/16 NF X 7/16 NC;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA EMP 10 X 2;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 3/4-10 X 5;N/A
Otros;BOMBA GAS;BOMBA GAS FOR FOCUS ECOSPORT CONTOUR ESCAPE MAZDA 9810;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 3/4 X 4;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA EMP 10 X 4;N/A
Otros;gota com;gota com;N/A
Otros;Sensor map;Sensor map ChevroletBlazer, Silverado, Astro, Chevy, 91-08;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 1/2 X 3.1/2;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB PLANA PH 1/4-20 X 1-1/4;N/A
Otros;VALVULA IAC;VALVULA IAC TOYOTA COROLLA, MATRIX, PONTIAC VIBE (02-06);N/A
Otros;5/8- 18;5/8- 18 R. Trasera MASSEY FERGUSON;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB PLANA PH 10-24 X 3/4;N/A
Pijas;PIJA TABLARROCA-BROCA;PIJA TABLARROCA-BROCA NGRA 6 X 2;N/A
Otros;M 12;M 12 x 1.5, Courier, Ikon, Fiesta, Ecosport, Focus, Ka;N/A
Otros;"ANILLO RETENCION;"ANILLO RETENCION EXT.;1"""|2"""
Otros;PERNO AGRICOLA;PERNO AGRICOLA 1 1/8 X 5-1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 5/8-11;N/A
Otros;29 CASQUILLO;29 CASQUILLO 7/16 X 5/8 NC;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 3/4-10 X 10;N/A
Tuercas;TUERCA HEX;TUERCA HEX 2H NEGRA 7/8-9;N/A
Otros;CHAVETA INOXIDABLE-304;CHAVETA INOXIDABLE-304 3/32 X 2;N/A
Otros;REMACHE POP;REMACHE POP AS612LF D3/16 X L7/8 X R3/4;N/A
Herramientas;"BROCA HSS;"BROCA HSS ZCO RECTO FRACC 135;1/64"""|1/32"""|3/64"""|1/16"""|5/64"""|3/32"""|7/64"""|1/8"""|9/64"""|5/32"""|11/64"""|3/16"""|13/64"""|7/32"""|15/64"""|1/4"""|17/64"""|9/32"""|19/64"""|5/16"""|21/64"""|11/32"""|3/8"""|25/64"""|13/32"""|27/64"""|7/16"""|29/64"""|15/32"""|31/64"""|1/2"""
Otros;INSERTO DE;INSERTO DE ACERO INOXIDABLE-304 M5-0.80 X 1.0;N/A
Otros;"3/4-16 x;"3/4-16 x 4.590""Eje Rockwell R. Trasera";N/A
Tornillos;BOMBA GAS;BOMBA GAS CHEVROLET CAVALIER BLAZER CON RETORNILLONO 6CIL 9599;N/A
Otros;"ADAPUNTADOR;"ADAPUNTADOR;1/4"" x 1/4 x 2"|1/4"" x 2-5/16"""
Pijas;PIJA LAMINA;PIJA LAMINA COMB EMP 14 X 3/4;N/A
Tuercas;"TUERCA CROMADA;"TUERCA CROMADA RIN DE ACERO ""CODIGO K"" 1/2-20";N/A
Otros;m14 X;m14 X 1.5 mm DEL Cheyenne;N/A
Birlos;BIRLO CROMADO;BIRLO CROMADO TUNER 12 X 1.5;N/A
Birlos;"M22 x;"M22 x 1.5 x 3.660"" Birlo Especial Extrapesado";N/A
Pijas;PIJA MADERA;PIJA MADERA PH PLANA NGRA 8 X 1.3/4;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 7/8-9 X 7;N/A
Otros;"ROND PRESION;"ROND PRESION 3""";N/A
Otros;M22 x;M22 x 1.5 x 5.500 (139.0mm) Produccion Especial;N/A
Tuercas;TUERCA AUTOMOTRIZ;TUERCA AUTOMOTRIZ TUNER M12-1.50 10 DIENTES;N/A
Tornillos;"3/4-16 x;"3/4-16 x 3.344"" Kenworth MoTORNILLO Wheel Paccar Peterbilt K233-2871R ESP";N/A
Otros;SENSOR VELOCIDAD;SENSOR VELOCIDAD FORD RANGER, EXPLORER, F150, F250 (SC84);N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1-8 X 3;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 5/16 X 4-1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1 X 3;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M12-1.75 X 50;N/A
Otros;sensor arbol;sensor arbol levas Chevrolet Colorado, Hummer, Isuzu, 06-08;N/A
Tornillos;EXTRACTORNILLO P/TORNILLO;EXTRACTORNILLO P/TORNILLO FLAUTA ESPIRAL;# 1|# 2|# 3|# 4|# 5|# 6|# 7|JUEGO (1-5)
Otros;SENSOR TEMPERATURA;SENSOR TEMPERATURA HONDA CIVIC, CR-V, ELEMENT (TX106);N/A
Tuercas;"TUERCA GRIPCO;"TUERCA GRIPCO GRADO ""C"" NF 1/2-20";N/A
Varillas;VARILLA ACME-LARGO;VARILLA ACME-LARGO 1 MT 2-1/2-4;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA F436 NGRA 2.1/4;N/A
Otros;Bobina ignicion;Bobina ignicion Nissan, Sentra, D21, Tsuru, Tsubame, Frontier (UF731);N/A
Otros;ROND PRESION;ROND PRESION NEGRA 7/16;N/A
Otros;"M20x1.5 Hex;"M20x1.5 Hex 1 5/8""Alt 1"" ISUZU HINO FUSO TOYOTA";N/A
Otros;Sensor maf;Sensor maf Ford Aerostar, Explorer, Ranger, Mazda, Lincoln 91-98;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 1/4-20 X 1;N/A
Otros;ROND PRESION;ROND PRESION NEGRA EMP 5/8;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA 1-3/8-6;N/A
Tornillos;TORNILLO CENTRO;TORNILLO CENTRO DE MUELLE GR-8 7/16 X 10;N/A
Otros;ROND PRESION;ROND PRESION 7/8;N/A
Otros;3/4 -16;3/4 -16 R.Tras.Autobus Dina300 Rin Aluminio;N/A
Varillas;VARILLA B7-LARGO;VARILLA B7-LARGO 12 PIES 5/8-11;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NF NEGRA 1-1/4-12;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1/4-20 X 4.1/2;N/A
Otros;43 CASQUILLO;43 CASQUILLO 8-1.25 X 12-1.75;N/A
Otros;JGO. LLAVES;JGO. LLAVES HEX MM HANDY XLARGA 9 PZAS;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 3/4-10 X 4;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 3/8-16 X 1.1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX 2H NEGRA 5/8-11;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA EMP 14 X 2;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 14 X 2;N/A
Otros;"LLAVE MIXTA;"LLAVE MIXTA HANDY M14;9/16"" - E-18"
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL AGUDA 14 X 4;N/A
Tornillos;TORNILLO CONECTORNILLO;TORNILLO CONECTORNILLO BRONCE 1/4 x 80;N/A
Otros;Sensor arbol;Sensor arbol levas Chrysler Voyager, Caravan, Pacifica, 98-07;N/A
Otros;INSERTO DE;INSERTO DE ACERO INOXIDABLE-304 1/2-13 X 1.0;N/A
Rondanas;RONDANA DE;RONDANA DE PRESION INOXIDABLE 316;1/4|5/16|3/8|7/16|1/2|5/8|3/4|7/8|1.1/8|1.1/4|1.1/2
Otros;PERNO ROSCAADO;PERNO ROSCAADO M8 X 35;N/A
Otros;PERNO RANURADO;PERNO RANURADO 1/4 x 1.5/8;N/A
Birlos;M10 x;M10 x 1.5 x 1.25 x 50.8mm, Birlo Manifull.;N/A
Otros;"CAPUCHON LARGO;"CAPUCHON LARGO TROP. ""R"" DERECHO";N/A
Otros;ROND PRESION;ROND PRESION EMP 1-3/8;N/A
Otros;BOMBA GAS;BOMBA GAS VW JETTA GOLF BEETLE IBIZA AUDI 4 CIL 9910;N/A
Otros;CHAVETA INOXIDABLE-304;CHAVETA INOXIDABLE-304 3/16 X 1.1/2;N/A
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 8 X 65;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON INOXIDABLE-304 3/4 x 8.1/2;N/A
Varillas;VARILLA B7-LARGO;VARILLA B7-LARGO 12 PIES 3/4-10;N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 1/8 X 2;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA F436 NGRA EMP 5/16;N/A
Pijas;PIJA CABEZA/PLANA;PIJA CABEZA/PLANA PH BROCA CABEZA/ALAS PLUS 12 X 2-1/2;N/A
Tornillos;TORNILLO CONECTORNILLO;TORNILLO CONECTORNILLO BRONCE 1/4 x 50;N/A
Otros;"NUDO UNIVERSAL;"NUDO UNIVERSAL HANDY;1/2"""|3/8"""
Tornillos;TORNILLO CENTRO;TORNILLO CENTRO DE MUELLE GR-8 1/2 X 10;N/A
Otros;SENSOR OXIGENO;SENSOR OXIGENO VOLKSWAGEN GOLF, JETTA, AUDI A3, A5 (01-08);N/A
Otros;Cutter 5;Cutter 5 (130mm) Handycraft;N/A
Tuercas;TUERCA INS;TUERCA INS NYLON NF 5/16-24;N/A
Otros;REMACHE POP;REMACHE POP AS45 D 1/8 X L 7/16 X R 5/16;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 7/16-14 X 2.1/2;N/A
Otros;TAQUETE TX;TAQUETE TX TROPICALIZADO PLUS 5/16-18 X 2.1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 5/16-18 X 2;N/A
Otros;SENSOR VELOCIDAD;SENSOR VELOCIDAD NISSAN PLATINA, CLIO TRANS MANUAL;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC GALVANIZADA EMP 1/4-20;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1-1/8 X 4;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 3/8-16 X 3.1/2;N/A
Otros;"70 CASQUILLO;"70 CASQUILLO 3/4-10 NC X 1""-8 NC";N/A
Tornillos;TORNILLO AUTORNILLOOSCANTE;TORNILLO AUTORNILLOOSCANTE PUNTA F 1/4-20 X 2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/8-11 X 4;N/A
Otros;ROND PRESION;ROND PRESION NEGRA EMP 3/8;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/8-11 X 2;N/A
Tuercas;TUERCA ESTRELLA;TUERCA ESTRELLA G2 M4-0.70;N/A
Pijas;PIJA MULTIUSOS;PIJA MULTIUSOS INOXIDABLE-304;# 6 X 1|# 6 X 1.1/4|# 6 X 1.1/2|# 8 X 1|# 8 X 1.1/4|# 8 X 1.1/2|# 8 X 2|# 8 X 2.1/2|# 8 X 3|# 10 X 2.1/2|# 10 X 3
Otros;INSERTO DE;INSERTO DE ACERO INOXIDABLE-304 M10-1.50 X 1.0;N/A
Otros;M14 x;M14 x 1.5 x 30m, Hex 3/4 (Sedan, Golf, Jetta, Largo Ring Magnecio;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 7/16-14 X 1.1/4;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 EMP 1.1/4-7;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA 10 X 1.1/2;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA 10 X 2;N/A
Otros;#10 X;#10 X 14mm ACC EPDM/ACERO;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 5/8 X 2.1/2;N/A
Otros;M14X1.5X65MM Cheyenne;M14X1.5X65MM Cheyenne SilveradoSuburban Sonora GM;N/A
Otros;77 CASQUILLO;77 CASQUILLO 8-1.25 X 3/8-24 NF Mediano;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 5/16-18 X 3.1/2;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 1/2-13 X 2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 1/4-20 X 2;N/A
Rondanas;"RONDANA ESTRELLA;"RONDANA ESTRELLA EXTERIOR 1""";N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 1/8 X 1/2;N/A
Tuercas;TUERCA INS;TUERCA INS NYLON NF 1.1/2-12;N/A
Herramientas;"DADO HEX;"DADO HEX PARA ROSCAAR HANDY 1/4""-20 NC";N/A
Tuercas;TUERCA MM;TUERCA MM INS NYLON NC M20-2.50;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1/2 X 1;N/A
Otros;m 12;m 12 x 1.5 mm DEL/TRAS Neon 96-01,Stratus 96-01;N/A
Birlos;BIRLO SERVICIO;BIRLO SERVICIO PESADO IZQ 3/4-16 X 3.125 GR8;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 3/8 X 12;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB LATON 8 X 1;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL AGUDA 5/16 X 1;N/A
Otros;PERNO RANURADO;PERNO RANURADO 3/16 x 1.5/8;N/A
Tuercas;TUERCA REMACHABLE;TUERCA REMACHABLE T. AMERICANO TROP. 3/8-16;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 3/8 X 5-1/2;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL AGUDA EMP 5/16 X 1-1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/16-18 X 2;N/A
Otros;SENSOR TEMPERATURA;SENSOR TEMPERATURA PEUGEOT PARTNER GRAND RAID (TX240);N/A
Tuercas;TUERCA ACME;TUERCA ACME FORJADA 1-1/4-4;N/A
Pijas;PIJA FIJAD;PIJA FIJAD P/BROCA 8 X 3/4;N/A
Otros;M22 x;M22 x 1.5 x 104 mm Hombro Dif. Extrapesado Delantero;N/A
Otros;9 CASQUILLO;9 CASQUILLO 12-1.50 X 5/8 NC;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON INOXIDABLE-304 5/8 X 3.1/2;N/A
Otros;1/2 20;1/2 20 X 2 1/4 F-150 / 250;N/A
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 10 X 65;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 7/8 X 8;N/A
Otros;INSERTO NF;INSERTO NF DE ACERO INOXIDABLE-304 5/16-24 X 1.0;N/A
Otros;TAQUETE TX;TAQUETE TX TROP GALAXY C 1/4 T 10-24 X 2.1/2 LARGO;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M10 X 90;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1/2-13 X 3.1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX LATON 3/4-10;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 1/2 X 4;N/A
Otros;m 12;m 12 x 1.5 mm DEL/TRAS Caribe,Atlantic.Golf,Jetta;N/A
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 14 X 60;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 1/2-13 X 1.1/4;N/A
Birlos;M10 x;M10 x 1.5x1.5x50 Birlo MM Tipo Flecha;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M10-1.50 X 25;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 LIG 3 METRO NC 3/8-16;N/A
Herramientas;"DADO CORTO;"DADO CORTO 12 PUNTAS HANDY;MANDO 3/8"" - M6"|MANDO 3/8"" - M7"|MANDO 3/8"" - M8"|MANDO 3/8"" - M9"|MANDO 3/8"" - M10"|MANDO 3/8"" - M11"|MANDO 3/8"" - M12"|MANDO 3/8"" - M13"|MANDO 3/8"" - M14"|MANDO 3/8"" - M15"|MANDO 3/8"" - M16"|MANDO 3/8"" - M17"|MANDO 3/8"" - M18"|MANDO 3/8"" - M19"|MANDO 3/8"" - M20"|MANDO 3/8"" - M21"|MANDO 3/8"" - M22"|MANDO 3/8"" - M23"|MANDO 3/8"" - M24"|MANDO 1/2"" - M8"|MANDO 1/2"" - M9"|MANDO 1/2"" - M10"|MANDO 1/2"" - M11"|MANDO 1/2"" - M12"|MANDO 1/2"" - M13"|MANDO 1/2"" - M14"|MANDO 1/2"" - M15"|MANDO 1/2"" - M16"|MANDO 1/2"" - M17"|MANDO 1/2"" - M18"|MANDO 1/2"" - M19"|MANDO 1/2"" - M20"|MANDO 1/2"" - M21"|MANDO 1/2"" - M22"|MANDO 1/2"" - M23"|MANDO 1/2"" - M24"|MANDO 1/2"" - M25"|MANDO 1/2"" - M26"|MANDO 1/2"" - M27"|MANDO 1/2"" - M28"|MANDO 1/2"" - M29"|MANDO 1/2"" - M30"|MANDO 1/2"" - M32"
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 3 METROS 1.1/4-7;N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 3/16 x 1-1/2;N/A
Pijas;PIJA K-LATH;PIJA K-LATH BROCA EMP 8 X 3 GALAXY;N/A
Tornillos;"TORNILLO. AUTORNILLOOSCANTE;"TORNILLO. AUTORNILLOOSCANTE PUNTA T23;NEGRO &apos
Rondanas;RONDANA ESTRELLA;RONDANA ESTRELLA INTERIOR 3/8;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA PLUS 8 X 3/4;N/A
Otros;SENSOR TEMPERATURA;SENSOR TEMPERATURA NISSAN ALTIMA, TSURU, TIIDA (TX78);N/A
Otros;sensor cigüeñal;sensor cigüeñal Toyota Matyrix, Corolla, Celica, MR2, 98-08;N/A
Tuercas;TUERCA INS;TUERCA INS NYLON NC 7/8-9;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB 6 X 1;N/A
Varillas;VARILLA B7-LARGO;VARILLA B7-LARGO 1 MT 1.1/8-8;N/A
Otros;M22 X;M22 X 1.5 X 131.07 MM SISTEMA UNIMOUNT;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1/2-13 X 4.1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 EMP 7/8-9;N/A
Otros;M22 X1.5;M22 X1.5 X121.5 MM SISTEMA UNIMOUNT;N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 3/16 x 2-1/2;N/A
Otros;PERNO RANURADO;PERNO RANURADO 5/16 x 1.1/4;N/A
