CLAVE;NOMBRE;$ LISTA;EMPAQUE;GRANEL;DESC
5170200300;TORNILLO COCHE GR-2 GALV EMP 1/4-20 X 3;7,05;130;1040;83,00%
5170200360;TORNILLO COCHE GR-2 GALV EMP 1/4-20 X 3.1/2;8,23;120;960;83,00%
5170200400;TORNILLO COCHE GR-2 GALV EMP 1/4-20 X 4;9,11;110;880;83,00%
5170300090;TORNILLO COCHE GR-2 GALV EMP 5/16-18 X 3/4;5,05;300;2400;83,00%
5170300100;TORNILLO COCHE GR-2 GALV EMP 5/16-18 X 1;5,44;250;2000;83,00%
5170300120;TORNILLO COCHE GR-2 GALV EMP 5/16-18 X 1.1/4;6,02;200;1600;83,00%
5170300160;TORNILLO COCHE GR-2 GALV EMP 5/16-18 X 1.1/2;6,7;160;1280;83,00%
5170300200;TORNILLO COCHE GR-2 GALV EMP 5/16-18 X 2;8,48;110;880;83,00%
5170300260;TORNILLO COCHE GR-2 GALV EMP 5/16-18 X 2.1/2;9,99;100;800;83,00%
5170300300;TORNILLO COCHE GR-2 GALV EMP 5/16-18 X 3;11,24;80;640;83,00%
5170300360;TORNILLO COCHE GR-2 GALV EMP 5/16-18 X 3.1/2;13,31;75;600;83,00%
5170300400;TORNILLO COCHE GR-2 GALV EMP 5/16-18 X 4;14,26;75;600;83,00%
5170400100;TORNILLO COCHE GR-2 GALV EMP 3/8-16 X 1;8,13;170;1360;83,00%
5170400120;TORNILLO COCHE GR-2 GALV EMP 3/8-16 X 1.1/4;9,21;135;1080;83,00%
5170400160;TORNILLO COCHE GR-2 GALV EMP 3/8-16 X 1.1/2;10,37;110;880;83,00%
5170400200;TORNILLO COCHE GR-2 GALV EMP 3/8-16 X 2;12,51;90;720;83,00%
5170400260;TORNILLO COCHE GR-2 GALV EMP 3/8-16 X 2.1/2;14,64;75;600;83,00%
5170400300;TORNILLO COCHE GR-2 GALV EMP 3/8-16 X 3;16,86;55;440;83,00%
5170400360;TORNILLO COCHE GR-2 GALV EMP 3/8-16 X 3.1/2;19,04;55;440;83,00%
5170400400;TORNILLO COCHE GR-2 GALV EMP 3/8-16 X 4;21,27;50;400;83,00%
5170600120;TORNILLO COCHE GR-2 GALV EMP 1/2-13 X 1.1/4;19,47;65;520;83,00%
5170600160;TORNILLO COCHE GR-2 GALV EMP 1/2-13 X 1.1/2;22;60;480;83,00%
5170600200;TORNILLO COCHE GR-2 GALV EMP 1/2-13 X 2;25,57;45;360;83,00%
5170600260;TORNILLO COCHE GR-2 GALV EMP 1/2-13 X 2.1/2;30,03;35;280;83,00%
5170600300;TORNILLO COCHE GR-2 GALV EMP 1/2-13 X 3;35,31;35;280;83,00%
5170600360;TORNILLO COCHE GR-2 GALV EMP 1/2-13 X 3.1/2;38,03;30;240;83,00%
5170600400;TORNILLO COCHE GR-2 GALV EMP 1/2-13 X 4;41,05;30;240;83,00%
5210020000;TUERCA ESTRELLA G2 GALV 4-40;1,53;100;50000;86,00%
5210040000;TUERCA ESTRELLA G2 GALV 6-32;1,79;100;25000;86,00%
5210050000;TUERCA ESTRELLA G2 GALV 8-32;2,03;100;10000;86,00%
5210100000;TUERCA ESTRELLA G2 GALV 10-24;2,26;100;10000;86,00%
5210200000;TUERCA ESTRELLA G2 GALV 1/4-20;3,34;100;10000;86,00%
5210300000;TUERCA ESTRELLA G2 GALV 5/16-18;5,43;100;3000;86,00%
5210400000;TUERCA ESTRELLA G2 GALV 3/8-16;13,80;100;2000;86,00%
5220050000;TUERCA MARIPOSA ESTAMPADA GALV 8-32;0,99;200;10000;86,00%
5220100000;TUERCA MARIPOSA ESTAMPADA GALV 10-24;1,30;350;7000;86,00%
5220200000;TUERCA MARIPOSA ESTAMPADA GALV 1/4-20;1,79;250;5000;86,00%
5220300000;TUERCA MARIPOSA ESTAMPADA GALV 5/16-18;3,30;150;3000;86,00%
5220400000;TUERCA MARIPOSA ESTAMPADA GALV 3/8-16;4,57;100;2000;86,00%
5250030000;TUERCA HEX GR-2 GALV 1/8-40;0,67;N/A;30000;86,00%
5250050000;TUERCA HEX GR-2 GALV 8-32;0,77;N/A;25000;86,00%
5250100000;TUERCA HEX GR-2 GALV 10-24;0,78;N/A;20000;86,00%
5250200000;TUERCA HEX GR-2 GALV 1/4-20;1,31;N/A;8000;86,00%
5250300000;TUERCA HEX GR-2 GALV 5/16-18;1,91;N/A;6000;86,00%
5250400000;TUERCA HEX GR-2 GALV 3/8-16;2,74;N/A;4000;86,00%
5250500000;TUERCA HEX GR-2 GALV 7/16-14;4,94;N/A;2200;86,00%
5250600000;TUERCA HEX GR-2 GALV 1/2-13;6,62;N/A;1500;86,00%
5250700000;TUERCA HEX GR-2 GALV 9/16-12;10,97;N/A;800;86,00%
5250800000;TUERCA HEX GR-2 GALV 5/8-11;13,32;N/A;800;86,00%
5250900000;TUERCA HEX GR-2 GALV 3/4-10;21,84;N/A;500;86,00%
5250950000;TUERCA HEX GR-2 GALV 7/8-9;35,18;N/A;300;86,00%
5251000000;TUERCA HEX GR-2 GALV 1-8;52,63;N/A;200;86,00%
5251100000;TUERCA HEX GR-2 GALV 1.1/8-7;77,77;N/A;137;86,00%
5251200000;TUERCA HEX GR-2 GALV 1.1/4-7;108,67;N/A;100;86,00%
5251600000;TUERCA HEX GR-2 GALV 1.1/2-6;188,49;N/A;50;86,00%
5253900030;TUERCA HEX GR-2 GALV EMP 1/8-40;0,67;7500;30000;83,00%
5253900050;TUERCA HEX GR-2 GALV EMP 8/32;0,77;5000;25000;83,00%
5253900100;TUERCA HEX GR-2 GALV EMP 10-24;0,78;5000;20000;83,00%
5253900200;TUERCA HEX GR-2 GALV EMP 1/4-20;1,31;2000;8000;83,00%
5253900300;TUERCA HEX GR-2 GALV EMP 5/16-18;1,91;1500;6000;83,00%
5253900400;TUERCA HEX GR-2 GALV EMP 3/8-16;2,74;1000;4000;83,00%
5253900500;TUERCA HEX GR-2 GALV EMP 7/16-14;4,94;550;2200;83,00%
5253900600;TUERCA HEX GR-2 GALV EMP 1/2-13;6,62;375;1500;83,00%
5253900700;TUERCA HEX GR-2 GALV EMP 9/16-12;10,97;200;800;83,00%
5253900800;TUERCA HEX GR-2 GALV EMP 5/8-11;13,32;200;800;83,00%
5253900900;TUERCA HEX GR-2 GALV EMP 3/4-10;21,84;125;500;83,00%
5253900950;TUERCA HEX GR-2 GALV EMP 7/8-9;35,18;75;300;83,00%
5253901000;TUERCA HEX GR-2 GALV EMP 1-8;52,63;50;200;83,00%
5253901100;TUERCA HEX GR-2 GALV EMP 1.1/8-7;77,77;25;137;83,00%
5253901200;TUERCA HEX GR-2 GALV EMP 1.1/4-7;108,67;25;100;83,00%
5253901600;TUERCA HEX GR-2 GALV EMP 1.1/2-6;188,49;10;50;83,00%
5254000060;TUERCA GR2 LIVIANA GIC - 1/2-13;7,99;N/A;1500;86,00%
5254000080;TUERCA GR2 LIVIANA GIC - 5/8-11;16,02;N/A;800;86,00%
5254000090;TUERCA GR2 LIVIANA GIC - 3/4-10;26,23;N/A;500;86,00%
5254600020;TUERCA HEX IZQUIERDA GR2 GALV 1/4-20;2,14;800;6400;86,00%
5254600030;TUERCA HEX IZQUIERDA GR2 GALV 5/16-18;3,12;400;3200;86,00%
5254600040;TUERCA HEX IZQUIERDA GR2 GALV 3/8-16;4,48;350;2800;86,00%
5254600060;TUERCA HEX IZQUIERDA GR2 GALV 1/2-13;10,84;150;1200;86,00%
5254600080;TUERCA HEX IZQUIERDA GR2 GALV 5/8-11;21,01;75;600;86,00%
5255200000;CONTRATUERCA GR-2 GALV - 1/4-20;1,26;1250;10000;86,00%
5255300000;CONTRATUERCA GR-2 GALV - 5/16-18;1,79;800;6400;86,00%
5255400000;CONTRATUERCA GR-2 GALV - 3/8-16;2,29;650;5200;86,00%
5255600000;CONTRATUERCA GR-2 GALV - 1/2-13;5,85;250;2000;86,00%
5255800000;CONTRATUERCA GR-2 GALV - 5/8-11;11,59;130;1040;86,00%
5270050000;TUERCA MARIPOSA GALV 8-32;2,59;250;8000;86,00%
5270100000;TUERCA MARIPOSA GALV 10-24;2,59;800;6400;86,00%
5270200000;TUERCA MARIPOSA GALV 1/4-20;3,38;500;4000;86,00%
5270300000;TUERCA MARIPOSA GALV 5/16-18;4,64;350;2100;86,00%
5270400000;TUERCA MARIPOSA GALV 3/8-16;7,93;200;1200;86,00%
5270600000;TUERCA MARIPOSA GALV 1/2-13;15,32;70;560;86,00%
5270800000;TUERCA MARIPOSA GALV 5/8-11;61,15;50;300;86,00%
5280100000;TUERCA FLANGE NC GALV 10-24;1,75;1000;8000;86,00%
5280200000;TUERCA FLANGE NC GALV 1/4-20;2,04;700;5600;86,00%
5280300000;TUERCA FLANGE NC GALV 5/16-18;2,95;450;3600;86,00%
5280400000;TUERCA FLANGE NC GALV 3/8-16;3,98;340;2720;86,00%
5280500000;TUERCA FLANGE NC GALV 7/16-14;7,92;180;1440;86,00%
5280600000;TUERCA FLANGE NC GALV 1/2-13;9,43;140;1120;86,00%
5280800000;TUERCA FLANGE NC GALV 5/8-11;22,06;70;560;86,00%
5280900000;TUERCA FLANGE NC GALV 3/4-10;34,45;40;320;86,00%
5285100000;TUERCA FLANGE GALV NF 10-32;2,01;200;5000;86,00%
5285200000;TUERCA FLANGE GALV NF 1/4-28;2,47;150;5000;86,00%
5285300000;TUERCA FLANGE GALV NF 5/16-24;3,55;100;4000;86,00%
5285400000;TUERCA FLANGE GALV NF 3/8-24;4,79;100;2720;86,00%
5285500000;TUERCA FLANGE GALV NF 7/16-20;9,27;50;1440;86,00%
5285600000;TUERCA FLANGE GALV NF 1/2-20;12,15;50;1000;86,00%
5300020000;TUERCA INS NYLON NC GALV 4-40;3,30;200;20000;86,00%
5300040000;TUERCA INS NYLON NC GALV 6-32;1,88;200;15000;86,00%
5300050000;TUERCA INS NYLON NC GALV 8-32;1,50;1500;12000;86,00%
5300100000;TUERCA INS NYLON NC GALV 10-24;1,40;1250;10000;86,00%
5300200000;TUERCA INS NYLON NC GALV 1/4-20;2,00;750;6000;86,00%
5300300000;TUERCA INS NYLON NC GALV 5/16-18;2,63;550;4400;86,00%
5300400000;TUERCA INS NYLON NC GALV 3/8-16;4,15;350;2800;86,00%
5300500000;TUERCA INS NYLON NC GALV 7/16-14;5,06;300;2400;86,00%
5300600000;TUERCA INS NYLON NC GALV 1/2-13;9,73;150;1200;86,00%
5300700000;TUERCA INS NYLON NC GALV 9/16-12;15,40;100;800;86,00%
5300800000;TUERCA INS NYLON NC GALV 5/8-11;20,17;75;600;86,00%
5300900000;TUERCA INS NYLON NC GALV 3/4-10;28,89;55;440;86,00%
5300950000;TUERCA INS NYLON NC GALV 7/8-9;47,38;35;280;86,00%
5301000000;TUERCA INS NYLON NC GALV 1-8;69,13;25;200;86,00%
5301100000;TUERCA INS NYLON NC GALV 1.1/8-7;109,18;25;75;86,00%
5301200000;TUERCA INS NYLON NC GALV 1.1/4-7;155,53;10;70;86,00%
5301400000;TUERCA INS NYLON NC GALV 1.3/8-6;314,15;10;50;86,00%
5301600000;TUERCA INS NYLON NC GALV 1.1/2-6;327,54;10;40;86,00%
5305100000;TUERCA INS NYLON NF GALV 10-32;1,73;1250;10000;86,00%
5305200000;TUERCA INS NYLON NF GALV 1/4-28;2,09;750;6000;86,00%
5305300000;TUERCA INS NYLON NF GALV 5/16-24;2,76;550;4400;86,00%
5305400000;TUERCA INS NYLON NF GALV 3/8-24;4,36;350;2800;86,00%
5305500000;TUERCA INS NYLON NF GALV 7/16-20;5,25;300;2400;86,00%
5305600000;TUERCA INS NYLON NF GALV 1/2-20;10,51;150;1200;86,00%
5305700000;TUERCA INS NYLON NF GALV 9/16-18;16,52;100;800;86,00%
5305800000;TUERCA INS NYLON NF GALV 5/8-18;21,42;75;600;86,00%
5305900000;TUERCA INS NYLON NF GALV 3/4-16;30,69;55;440;86,00%
5305950000;TUERCA INS NYLON NF GALV 7/8-14;51,29;35;280;86,00%
5306000000;TUERCA INS NYLON NF GALV 1-14;74,52;25;200;86,00%
5306100000;TUERCA INS NYLON NF GALV 1.1/8-12;115,36;10;70;86,00%
5306200000;TUERCA INS NYLON NF GALV 1.1/4-12;165,83;10;70;86,00%
5306600000;TUERCA INS NYLON NF GALV 1.1/2-12;339,90;10;40;86,00%
5310050020;TUERCA TINO 4 PUNTAS GALV 8-32 X 1/4;2,60;N/A;10000;86,00%
5310100030;TUERCA TINO 4 PUNTAS GALV 10-24 X 5/16;2,47;N/A;6000;86,00%
5310200030;TUERCA TINO 4 PUNTAS GALV 1/4-20 X 5/16;2,63;N/A;5000;86,00%
5310200050;TUERCA TINO 4 PUNTAS GALV 1/4-20 X 7/16;3,17;N/A;4000;86,00%
5310300040;TUERCA TINO 4 PUNTAS GALV 5/16-18 X 3/8;4,06;N/A;3000;86,00%
5310400040;TUERCA TINO 4 PUNTAS GALV 3/8-16 X 3/8;7,83;N/A;2000;86,00%
5315100030;TUERCA TINO 4 PUNTAS GALV NF 10-32 X 5/16;3,61;N/A;5000;86,00%
5320200000;TUERCA GRIPCO GRADO 'C' GALV 1/4-20;3,98;700;5600;86,00%
5320300000;TUERCA GRIPCO GRADO 'C' GALV 5/16-18;5,59;500;4000;86,00%
5320400000;TUERCA GRIPCO GRADO 'C' GALV 3/8-16;8,18;350;2800;86,00%
5320500000;TUERCA GRIPCO GRADO 'C' GALV 7/16-14;13,67;200;1600;86,00%
5320600000;TUERCA GRIPCO GRADO 'C' GALV 1/2-13;17,91;150;1200;86,00%
5320700000;TUERCA GRIPCO GRADO 'C' GALV 9/16-12;26,97;100;800;86,00%
5320800000;TUERCA GRIPCO GRADO 'C' GALV 5/8-11;32,70;80;640;86,00%
5320900000;TUERCA GRIPCO GRADO 'C' GALV 3/4-10;53,49;50;400;86,00%
5320950000;TUERCA GRIPCO GRADO 'C' GALV 7/8-9;90,11;30;240;86,00%
5321000000;TUERCA GRIPCO GRADO 'C' GALV 1-8;133,26;15;120;86,00%
5321100000;TUERCA GRIPCO GRADO 'C' GALV 1-1/8-7;236,90;10;100;86,00%
5321200000;TUERCA GRIPCO GRADO 'C' GALV 1-1/4-7;302,82;10;80;86,00%
5321400000;TUERCA GRIPCO GRADO 'C' GALV 1-3/8-6;437,75;10;80;86,00%
5321600000;TUERCA GRIPCO GRADO 'C' GALV 1-1/2-6;508,31;5;50;86,00%
5325200000;TUERCA GRIPCO GRADO 'C' NF GALV 1/4-28;4,23;400;5600;86,00%
5325300000;TUERCA GRIPCO GRADO 'C' NF GALV 5/16-24;5,96;400;4000;86,00%
5325400000;TUERCA GRIPCO GRADO 'C' NF GALV 3/8-24;8,80;350;2800;86,00%
5325500000;TUERCA GRIPCO GRADO 'C' NF GALV 7/16-20;14,81;200;1600;86,00%
5325600000;TUERCA GRIPCO GRADO 'C' NF GALV 1/2-20;19,04;150;1200;86,00%
5325700000;TUERCA GRIPCO GRADO 'C' NF GALV 9/16-18;29,10;100;800;86,00%
5325800000;TUERCA GRIPCO GRADO 'C' NF GALV 5/8-18;33,92;80;640;86,00%
5325900000;TUERCA GRIPCO GRADO 'C' NF GALV 3/4-16;56,33;50;400;86,00%
5325950000;TUERCA GRIPCO GRADO 'C' NF GALV 7/8-14;98,63;30;240;86,00%
5326000000;TUERCA GRIPCO GRADO 'C' NF GALV 1-14;142,92;15;120;86,00%
5327000020;TUERCA GRIPCO TIPO FLANGE NEGRA 1/4-20;8,59;225;4500;86,00%
5327000030;TUERCA GRIPCO TIPO FLANGE NEGRA 5/16-18;12,28;150;3000;86,00%
5327000040;TUERCA GRIPCO TIPO FLANGE NEGRA 3/8-16;17,90;100;2000;86,00%
5327000050;TUERCA GRIPCO TIPO FLANGE NEGRA 7/16-14;29,46;60;1200;86,00%
5327000060;TUERCA GRIPCO TIPO FLANGE NEGRA 1/2-13;37,34;40;800;86,00%
5327000080;TUERCA GRIPCO TIPO FLANGE NEGRA 5/8-11;68,75;20;400;86,00%
5327000090;TUERCA GRIPCO TIPO FLANGE NEGRA 3/4-10;144,84;25;250;86,00%
5330050000;TUERCA BELLOTA NIQUELADA 8-32;2,99;200;15000;86,00%
5330100000;TUERCA BELLOTA NIQUELADA 10-24;3,39;1250;7500;86,00%
5330200000;TUERCA BELLOTA NIQUELADA 1/4-20;4,48;700;5600;86,00%
5330300000;TUERCA BELLOTA NIQUELADA 5/16-18;7,36;500;4000;86,00%
5330400000;TUERCA BELLOTA NIQUELADA 3/8-16;9,27;300;2400;86,00%
5330600000;TUERCA BELLOTA NIQUELADA 1/2-13;28,27;80;640;86,00%
5335100000;TUERCA BELLOTA NIQUELADA NF 10-32;3,97;200;9600;86,00%
5350100000;TUERCA REMACHABLE T. AMERICANO TROP. 10-24;3,53;500;10000;86,00%
5350200000;TUERCA REMACHABLE T. AMERICANO TROP. 1/4-20;4,42;400;4800;86,00%
5350300000;TUERCA REMACHABLE T. AMERICANO TROP. 5/16-18;11,78;300;3600;86,00%
5350400000;TUERCA REMACHABLE T. AMERICANO TROP. 3/8-16;11,90;200;2800;86,00%
5350600000;TUERCA REMACHABLE T. AMERICANO TROP. 1/2-13;22,03;50;1050;86,00%
5360100000;TUERCA REMACHABLE T. EUROPEO TROP. 10-24;3,49;500;10000;86,00%
5360200000;TUERCA REMACHABLE T. EUROPEO TROP. 1/4-20;4,35;400;4800;86,00%
5360300000;TUERCA REMACHABLE T. EUROPEO TROP. 5/16-18;6,91;300;3600;86,00%
5360400000;TUERCA REMACHABLE T. EUROPEO TROP. 3/8-16;11,69;200;2000;86,00%
5360600000;TUERCA REMACHABLE T. EUROPEO TROP. 1/2;22,09;85;680;86,00%
5370200095;TUERCA COPLE GALV 1/4-20 X 3/8 X 7/8;5,21;225;1350;86,00%
5370300100;TUERCA COPLE GALV 5/16-18 X 1/2 X 1;10,26;125;750;86,00%
5370400110;TUERCA COPLE GALV 3/8-16 X 1/2 X 1.1/8;9,41;100;600;86,00%
5370600120;TUERCA COPLE GALV 1/2-13 X 5/8 X 1.1/4;15,66;75;300;86,00%
5370800200;TUERCA COPLE GALV 5/8-11 X 13/16 X 2;44,91;40;120;86,00%
5370900220;TUERCA COPLE GALV 3/4-10 X 1 X 2.1/4;82,92;20;100;86,00%
5380213D00;TUERCA MADERA 'D' NC GALV 1/4-20 X 13;5,38;500;10000;86,00%
5380213E00;TUERCA MADERA 'E' NC GALV 1/4-20 X 13;5,07;500;10000;79,00%
